segment_client,statut_fidelite,nb_clients,ca_total,panier_moyen,nb_achats
Régulier,Bronze,438,240943.8,56.24271708683473,4284
VIP,Silver,422,228606.71,53.201468466371885,4297
Occasionnel,Bronze,401,222937.97,54.97853760789149,4055
Occasionnel,Silver,432,220983.42,52.56503805899143,4204
Régulier,Silver,415,219001.09,53.001231848983544,4132
VIP,Bronze,392,211859.14,55.056949064449064,3848
Occasionnel,Gold,415,210775.6,50.12499405469679,4205
Occasionnel,Platinum,435,209283.46,47.661913003871554,4391
VIP,Platinum,427,206172.58,48.29528695244788,4269
Régulier,Gold,398,203437.53,50.66937235367372,4015
VIP,Gold,403,202109.81,50.027180693069305,4040
Régulier,Platinum,422,200310.03,47.0211338028169,4260
